country,year,algebraic_connectivity_vitality_w,efficiency_vitality_w,flow_betweenness_log1p_w,communicability_betweenness_asinh_w,shannon_entropy_w,participation_coefficient_w,within_module_degree_zscore_w,laplacian_centrality_log_w
BGR,1996,0.000760708,-0.020361845,7.417352681,0.284048245,3.264851379,0.519894764,-0.712656869,-6.545084248
BGR,1997,9.41E-05,-0.02199981,7.420261167,0.190237683,3.350553867,0.293031791,-0.57890821,-6.756544345
BGR,1998,-0.000127463,-0.021444051,7.861904793,0.241137004,3.283609799,0.278359954,-0.571370875,-6.70307391
BGR,1999,0.00024419,-0.020959454,7.889133794,0.347869132,3.301731603,0.305029675,-0.561692017,-6.598191125
BGR,2000,0.000103272,-0.022630694,7.675446323,0.139869882,3.350320528,0.282252695,-0.593242504,-6.961724783
BGR,2001,0.00096164,-0.021853494,7.990923641,0.141597028,3.307119768,0.262448897,-0.594338346,-6.778787911
BGR,2002,0.000163128,-0.021868209,7.957551161,0.134912609,3.289570799,0.242479435,-0.603038095,-6.743438167
BGR,2003,-0.000106934,-0.020973827,8.214525288,0.191719055,3.305939053,0.247011187,-0.599238805,-6.500803943
BGR,2004,-7.41E-05,-0.019955478,8.514247734,0.301398079,3.291187146,0.228446942,-0.59726624,-6.228886045
BGR,2005,-4.69E-05,-0.019561059,8.471219187,0.334204152,3.301940519,0.253249376,-0.611168763,-6.126344048
BGR,2006,6.29E-05,-0.019049373,8.473149773,0.431467082,3.315129513,0.231751606,-0.596690392,-5.990240497
BGR,2007,1.09E-05,-0.017716159,8.714827455,0.644180461,3.286206563,0.217877702,-0.572572709,-5.755004298
BGR,2008,6.97E-05,-0.017387933,8.655576702,0.76804117,3.305705607,0.224561708,-0.606117602,-5.718685475
BGR,2009,2.92E-05,-0.018647997,8.449530376,0.699108871,3.3776871,0.225831015,-0.625289398,-5.866070019
BGR,2010,3.68E-05,-0.019039241,8.302084824,0.609805225,3.270579994,0.205418191,-0.58581419,-5.956753603
BGR,2011,0.000100496,-0.017070277,8.528065185,0.711883327,3.261877657,0.228804243,-0.572904038,-5.810366739
BGR,2012,5.50E-05,-0.016738709,8.355316499,0.731381466,3.227694993,0.210689331,-0.577364571,-5.819669871
BGR,2013,4.63E-05,-0.017097654,8.172874143,0.790099905,3.276768626,0.223762322,-0.56033335,-5.752488277
BGR,2014,0.000252653,-0.01746826,8.031667694,0.742865442,3.26460042,0.224776803,-0.574919701,-5.722172031
BGR,2015,0.000282258,-0.016908151,8.055364497,0.725835264,3.282492056,0.223784357,-0.54923763,-5.777037595
BGR,2016,0.000318215,-0.017198684,8.281736488,0.747660562,3.286765088,0.208186349,-0.551646027,-5.764062237
BGR,2017,0.000381797,-0.01711612,8.547922664,0.771245924,3.277736218,0.205408955,-0.539872799,-5.726367098
BGR,2018,0.000573827,-0.016194478,8.620404132,0.842319604,3.324633999,0.224199165,-0.566278534,-5.632976168
BGR,2019,0.00058961,-0.015564679,8.517837691,0.86059548,3.319420421,0.21652973,-0.554019237,-5.626387083
BLR,1995,0.001153386,-0.014876655,7.891666897,0.885684701,2.808347002,0.139052266,-0.509526343,-6.034471427
BLR,1996,0.000760618,-0.014745682,7.436800755,0.707940719,2.813961359,0.574317953,-0.060928462,-6.375911297
BLR,1997,0.000550429,-0.010758709,7.661854956,0.851225393,2.491035273,0.134997601,-0.499206957,-6.209489222
BLR,1998,0.000368217,-0.013759324,8.005348559,1.109871131,2.820012046,0.17811403,-0.504213868,-6.124229605
BLR,1999,0.00041024,-0.014780784,7.583375046,0.772517272,2.800790466,0.200388825,-0.529390159,-6.358253321
BLR,2000,0.000433929,-0.014315646,7.422513236,0.531557082,2.667776976,0.199927963,-0.549604173,-6.586606274
BLR,2001,0.000363862,-0.012566657,8.047104888,0.845748826,2.676149147,0.199817673,-0.532318191,-6.296818111
BLR,2002,0.000505937,-0.01189911,7.974337675,0.767997233,2.66141694,0.20333696,-0.539061047,-6.166043198
BLR,2003,0.000679721,-0.011214484,8.2022946,0.773202286,2.625757509,0.191984597,-0.539569202,-6.017679989
BLR,2004,0.000555421,-0.009448471,8.39890708,1.044682053,2.577616714,0.18673693,-0.537639382,-5.884487419
BLR,2005,0.00023004,-0.010263941,8.371079657,0.734875001,2.668949629,0.217019953,-0.568573097,-5.929398706
BLR,2006,0.001198998,-0.009207412,8.187505996,0.860900298,2.71236225,0.205296974,-0.555047874,-5.790759998
BLR,2007,0.001467032,-0.008689729,8.372956005,0.976723169,2.742758773,0.239563632,-0.559509594,-5.687397741
BLR,2008,0.001293291,-0.006404031,8.335896151,1.230660726,2.759297093,0.273497881,-0.574528604,-5.521851994
BLR,2009,0.001681772,-0.007943214,8.190087271,1.123653164,2.760473674,0.296336322,-0.602901212,-5.646408401
BLR,2010,0.001527396,-0.009345835,7.995276382,1.200065725,2.845045638,0.277731874,-0.561720429,-5.751119081
BLR,2011,0.001233353,-0.00656794,8.365841855,1.605836203,2.825814474,0.318129492,-0.513327248,-5.400484542
BLR,2012,0.000762718,-0.000951039,8.047654721,1.381770745,2.27964405,0.218173994,-0.474016787,-5.295307102
BLR,2013,0.001012446,-0.002980196,7.63862917,0.905366693,2.18001133,0.18571778,-0.511028278,-5.543213039
BLR,2014,0.001574879,-0.004013352,7.254626066,0.921948243,2.162132079,0.170795022,-0.540119355,-5.729791906
BLR,2015,0.001572903,-0.007246812,7.329155574,0.731918522,2.351979869,0.249807564,-0.549752948,-5.91706456
BLR,2016,0.001573603,-0.00796074,7.509148073,0.64583467,2.300442925,0.231212171,-0.56563039,-6.078503706
BLR,2017,0.001795897,-0.006687506,7.735625355,0.701541627,2.216973982,0.217569095,-0.546610539,-5.939135509
BLR,2018,0.001404529,-0.005594522,7.895474685,0.865294078,2.275656039,0.223570853,-0.559106212,-5.81438772
BLR,2019,0.001736445,-0.00606967,7.854108102,0.828929533,2.296195516,0.229924996,-0.553766111,-5.841950658
BRA,1995,0.012220801,0.000784586,9.562439528,2.691001836,3.234306275,0.498818531,-0.355548325,-4.172575437
BRA,1996,0.002254162,-0.001037295,9.286207157,2.587783611,3.282804922,0.637122656,-0.512067202,-4.252892305
BRA,1997,0.00221235,0.001040605,9.547437155,2.591213665,3.238018242,0.625974387,-0.507502041,-4.172256267
BRA,1998,0.003348593,-0.000207191,9.746225077,2.537607182,3.23387085,0.600358661,-0.516668819,-4.218017939
BRA,1999,0.002844549,0.000813674,9.520718003,2.457121906,3.214004634,0.605371446,-0.527227421,-4.290371125
BRA,2000,0.003070965,0.004051614,9.667821595,2.654077147,3.220431515,0.623702162,-0.569359636,-4.177563554
BRA,2001,0.002494038,0.006159281,10.13380152,2.945835094,3.274558459,0.620267431,-0.499063487,-4.07288566
BRA,2002,0.002111833,0.002779174,9.94835138,2.859323206,3.320060732,0.634935151,-0.467358297,-4.184733579
BRA,2003,0.002920236,0.000335484,9.968180823,2.806599641,3.341208211,0.640244285,-0.464089887,-4.253953541
